,character,affiliation
0,Order of the Phoenix allies,Order of the Phoenix allies
1,Andromeda Tonks,Order of the Phoenix allies
2,Augusta Longbottom,Order of the Phoenix allies
3,Buckbeak,Order of the Phoenix allies
4,Colin Creevey,Order of the Phoenix allies
5,Dobby,Order of the Phoenix allies
6,Filius Flitwick,Order of the Phoenix allies
7,Firenze,Order of the Phoenix allies
8,Garrick Ollivander,Order of the Phoenix allies
9,Ginny Weasley,Order of the Phoenix allies
10,Grawp,Order of the Phoenix allies
11,Hannah Abbott,Order of the Phoenix allies
12,Helena Ravenclaw,Order of the Phoenix allies
13,Horace Slughorn,Order of the Phoenix allies
14,Karkus,Order of the Phoenix allies
15,Karkus's wife,Order of the Phoenix allies
16,Katie Bell,Order of the Phoenix allies
17,Kreacher,Order of the Phoenix allies
18,Luna Lovegood,Order of the Phoenix allies
19,Mr. Westenberg,Order of the Phoenix allies
20,Mrs. Westenberg,Order of the Phoenix allies
21,Muriel,Order of the Phoenix allies
22,Nearly-Headless Nick,Order of the Phoenix allies
23,Neville Longbottom,Order of the Phoenix allies
24,Oliver Wood,Order of the Phoenix allies
25,Olympe Maxime,Order of the Phoenix allies
26,Percy Weasley,Order of the Phoenix allies
27,Pomona Sprout,Order of the Phoenix allies
28,Sybill Trelawney,Order of the Phoenix allies
29,Ted Tonks,Order of the Phoenix allies
30,The Fallen Fifty,Order of the Phoenix allies
31,Westinburgh family,Order of the Phoenix allies
32,Winky,Order of the Phoenix allies
33,Xenophilius Lovegood,Order of the Phoenix allies
